time,DRAM_Consumption,category,pid,mainThreadIndex,itération
18413.824331,6188287,power,75817,0,4
18414.278084,6730822,power,71855,0,0
18415.319381,5196466,power,77791,0,6
18415.855638,6251865,power,87606,0,16
18417.058588,6942749,power,79733,0,8
18419.822124,7362366,power,81735,0,10
18420.676745,5522834,power,83662,0,12
18421.31145,3356934,power,89599,0,18
18423.032991,5900065,power,85659,0,14
18423.278591,5645752,power,73894,0,2
18423.843093,5895826,power,75817,0,4
18424.231054,6612142,power,71855,0,0
18425.374442,5781385,power,77791,0,6
18425.873965,6056892,power,87606,0,16
18427.057023,6802877,power,79733,0,8
18429.846843,7019043,power,81735,0,10
18430.677419,7781983,power,83662,0,12
18431.326621,2581278,power,89599,0,18
18433.050707,4518297,power,85659,0,14
18433.212915,6434123,power,73894,0,2
18433.837907,6039938,power,75817,0,4
18434.195787,6425645,power,71855,0,0
18435.341357,5548265,power,77791,0,6
18435.836308,6743537,power,87606,0,16
18437.057716,6230672,power,79733,0,8
18439.787124,6976657,power,81735,0,10
18440.732272,7226732,power,83662,0,12
18441.327102,3594293,power,89599,0,18
18443.058168,5514357,power,85659,0,14
18443.255459,6870694,power,73894,0,2
18443.774742,5675421,power,75817,0,4
18444.227818,5692376,power,71855,0,0
18445.344873,6862217,power,77791,0,6
18445.859599,7553100,power,87606,0,16
18447.058177,7264879,power,79733,0,8
18449.794991,6506179,power,81735,0,10
18450.699174,7014804,power,83662,0,12
18451.328118,2759297,power,89599,0,18
18453.055555,4463196,power,85659,0,14
18453.260863,6764729,power,73894,0,2
18453.844525,5726285,power,75817,0,4
18454.24845,5946690,power,71855,0,0
18455.344366,6001790,power,77791,0,6
18456.422745,7493761,power,87606,0,16
18457.112803,6637573,power,79733,0,8
18459.837986,6573994,power,81735,0,10
18460.697221,6968181,power,83662,0,12
18461.32057,4217360,power,89599,0,18
18463.060128,4666646,power,85659,0,14
18463.261783,6980896,power,73894,0,2
18463.824723,3827413,power,75817,0,4
18464.286635,5781385,power,71855,0,0
18465.340181,5878873,power,77791,0,6
18465.858793,6671482,power,87606,0,16
18467.05513,6696913,power,79733,0,8
18469.825278,6035699,power,81735,0,10
18470.694556,6701151,power,83662,0,12
18471.308537,6646050,power,89599,0,18
18473.040305,6417169,power,85659,0,14
18473.821934,5323622,power,75817,0,4
18474.24843,5649991,power,71855,0,0
18474.628003,8862814,power,73894,0,2
18475.345179,6027221,power,77791,0,6
18475.86006,6951226,power,87606,0,16
18477.059913,6663005,power,79733,0,8
18479.825837,7281834,power,81735,0,10
18480.697616,6048414,power,83662,0,12
18481.327667,3157722,power,89599,0,18
18483.059322,4692077,power,85659,0,14
18483.290712,6039937,power,73894,0,2
18483.823251,6434123,power,75817,0,4
18484.228495,5577935,power,71855,0,0
18485.354501,5972121,power,77791,0,6
18485.877112,6476508,power,87606,0,16
18488.101342,7773505,power,79733,0,8
18489.822949,6934271,power,81735,0,10
18490.694137,6391738,power,83662,0,12
18491.328349,5713569,power,89599,0,18
18493.055743,6260342,power,85659,0,14
18493.257315,6874932,power,73894,0,2
18494.097372,5997551,power,75817,0,4
18494.246478,5692376,power,71855,0,0
18495.344102,6434123,power,77791,0,6
18495.85804,6692675,power,87606,0,16
18497.056684,6268819,power,79733,0,8
18499.823141,7383559,power,81735,0,10
18500.697313,6607903,power,83662,0,12
18501.320235,7523431,power,89599,0,18
18503.161397,5590651,power,85659,0,14
18503.259503,6718106,power,73894,0,2
18503.821483,6896125,power,75817,0,4
18504.226636,5175273,power,71855,0,0
18505.343448,6133185,power,77791,0,6
18505.857132,6514655,power,87606,0,16
18507.071247,5662706,power,79733,0,8
18509.826624,6353590,power,81735,0,10
18510.735732,7116530,power,83662,0,12
18511.338622,5522834,power,89599,0,18
18513.037127,6959703,power,85659,0,14
18513.259071,7820129,power,73894,0,2
18513.828483,6171333,power,75817,0,4
18514.279285,6616380,power,71855,0,0
18515.468392,6569756,power,77791,0,6
18515.893334,6294250,power,87606,0,16
18517.1529,7180108,power,79733,0,8
18519.841459,5404155,power,81735,0,10
18520.676861,6557040,power,83662,0,12
18521.313021,5455017,power,89599,0,18
18523.169898,6908841,power,85659,0,14
18523.25742,6811354,power,73894,0,2
18523.822335,6612142,power,75817,0,4
18524.226508,4531013,power,71855,0,0
18525.344097,5972121,power,77791,0,6
18525.85671,6582472,power,87606,0,16
18527.064717,7336935,power,79733,0,8
18529.82291,6362067,power,81735,0,10
18530.697586,6480747,power,83662,0,12
18531.312954,6573995,power,89599,0,18
18533.05942,4865858,power,85659,0,14
18533.259269,6794400,power,73894,0,2
18533.823186,6857978,power,75817,0,4
18534.20009,5743238,power,71855,0,0
18535.360039,5921258,power,77791,0,6
18535.859368,6145902,power,87606,0,16
18537.057891,7273356,power,79733,0,8
18539.836392,6798638,power,81735,0,10
18540.677815,6930034,power,83662,0,12
18541.312603,4904005,power,89599,0,18
18543.053407,5874634,power,85659,0,14
18543.27367,6760491,power,73894,0,2
18543.784775,4954868,power,75817,0,4
18544.228102,5675422,power,71855,0,0
18545.313782,5972120,power,77791,0,6
18545.857933,6764729,power,87606,0,16
18547.056184,6518893,power,79733,0,8
18549.905326,6904602,power,81735,0,10
18550.706956,5378723,power,83662,0,12
18551.348604,6493462,power,89599,0,18
18553.040863,5760193,power,85659,0,14
18553.25778,7341173,power,73894,0,2
18553.83755,6124708,power,75817,0,4
18554.248745,6345113,power,71855,0,0
18555.379104,6230673,power,77791,0,6
18555.858093,6802877,power,87606,0,16
18557.05637,6667244,power,79733,0,8
18560.068984,7514954,power,81735,0,10
18560.719347,3937615,power,83662,0,12
18561.312978,3560384,power,89599,0,18
18563.049731,6866455,power,85659,0,14
18563.259731,7158915,power,73894,0,2
18563.840621,6404453,power,75817,0,4
18564.225885,5785624,power,71855,0,0
18565.348795,6565517,power,77791,0,6
18565.873975,6217957,power,87606,0,16
18567.06102,6472269,power,79733,0,8
18569.825577,6463792,power,81735,0,10
18570.676607,6946988,power,83662,0,12
18571.334752,5832249,power,89599,0,18
18573.036491,6383260,power,85659,0,14
18573.414651,7913378,power,73894,0,2
18573.84269,4603068,power,75817,0,4
18574.248735,5633037,power,71855,0,0
18575.822831,7570055,power,77791,0,6
18575.85658,7082621,power,87606,0,16
18577.020463,5518596,power,79733,0,8
18579.842886,6319682,power,81735,0,10
18580.678602,6082323,power,83662,0,12
18581.328733,6879170,power,89599,0,18
18583.035725,5577935,power,85659,0,14
18583.329634,7777744,power,73894,0,2
18583.844007,5548265,power,75817,0,4
18584.228605,5772908,power,71855,0,0
18585.373829,6379022,power,77791,0,6
18585.858186,6506178,power,87606,0,16
18587.05986,5781385,power,79733,0,8
18589.820124,7086860,power,81735,0,10
18590.692612,6701151,power,83662,0,12
18591.339566,3992717,power,89599,0,18
18593.044509,6222195,power,85659,0,14
18593.390757,5730523,power,73894,0,2
18593.844333,5527073,power,75817,0,4
18594.247055,5162557,power,71855,0,0
18595.345781,6764730,power,77791,0,6
18595.865044,6569757,power,87606,0,16
18597.019429,5751716,power,79733,0,8
18599.837493,6506178,power,81735,0,10
18600.676703,6366306,power,83662,0,12
18601.307494,6370544,power,89599,0,18
18603.036074,6658766,power,85659,0,14
18603.256255,6811354,power,73894,0,2
18603.823725,6141662,power,75817,0,4
18604.226852,6175571,power,71855,0,0
18605.342845,6853739,power,77791,0,6
18605.872634,6150139,power,87606,0,16
18607.05642,6222195,power,79733,0,8
18609.825589,5806817,power,81735,0,10
18610.675879,6917318,power,83662,0,12
18611.275131,6548564,power,89599,0,18
18613.040669,7103814,power,85659,0,14
18613.256133,6323920,power,73894,0,2
18613.823048,5624559,power,75817,0,4
18614.226005,5603367,power,71855,0,0
18615.341184,6429884,power,77791,0,6
18615.85862,5798340,power,87606,0,16
18617.071789,6679959,power,79733,0,8
18619.825121,6031460,power,81735,0,10
18620.692012,7565816,power,83662,0,12
18621.328052,5789863,power,89599,0,18
18623.038985,7786221,power,85659,0,14
18623.258637,6713867,power,73894,0,2
18623.823803,4624261,power,75817,0,4
18624.182361,5162557,power,71855,0,0
18625.345864,7061429,power,77791,0,6
18625.879326,6251865,power,87606,0,16
18627.432054,5849202,power,79733,0,8
18629.836541,6086562,power,81735,0,10
18630.698032,5421109,power,83662,0,12
18631.30626,4442003,power,89599,0,18
18633.011682,6841024,power,85659,0,14
18633.524075,6395976,power,73894,0,2
18633.827667,5518596,power,75817,0,4
18634.240683,4607306,power,71855,0,0
18635.340642,7459852,power,77791,0,6
18635.830768,3776550,power,87606,0,16
18637.023594,6514656,power,79733,0,8
18640.676633,6904602,power,83662,0,12
18640.720138,7578532,power,81735,0,10
18641.343517,4492865,power,89599,0,18
18643.039274,5870395,power,85659,0,14
18643.257073,6323920,power,73894,0,2
18643.836298,5777147,power,75817,0,4
18644.246589,5459256,power,71855,0,0
18645.340488,7256402,power,77791,0,6
18645.877104,6179810,power,87606,0,16
18647.063874,6781684,power,79733,0,8
18649.823421,6569756,power,81735,0,10
18650.898769,6870693,power,83662,0,12
18651.318578,6281535,power,89599,0,18
18653.03552,6599426,power,85659,0,14
18653.259084,6883410,power,73894,0,2
18653.838513,6340874,power,75817,0,4
18654.2416,5764431,power,71855,0,0
18655.341427,6722344,power,77791,0,6
18655.879377,5743239,power,87606,0,16
18657.05655,6349351,power,79733,0,8
18659.847529,7413228,power,81735,0,10
18660.676877,5861918,power,83662,0,12
18661.307213,3594293,power,89599,0,18
18663.03759,6891887,power,85659,0,14
18663.260903,7502238,power,73894,0,2
18663.824331,6052653,power,75817,0,4
18664.181234,5217658,power,71855,0,0
18665.342353,6722345,power,77791,0,6
18665.878677,4357232,power,87606,0,16
18667.077215,6162856,power,79733,0,8
18669.835772,5997552,power,81735,0,10
18670.700193,6476509,power,83662,0,12
18671.320074,6052653,power,89599,0,18
18673.039258,6718106,power,85659,0,14
18673.259116,6145901,power,73894,0,2
18673.835698,5658468,power,75817,0,4
18674.258976,4738702,power,71855,0,0
18675.346425,6701151,power,77791,0,6
18675.857146,6243387,power,87606,0,16
18677.025759,5751715,power,79733,0,8
18679.837515,6455316,power,81735,0,10
18680.699153,6264580,power,83662,0,12
18681.321359,5048116,power,89599,0,18
18683.052353,4789564,power,85659,0,14
18683.280254,6205241,power,73894,0,2
18683.853838,6133185,power,75817,0,4
18684.229264,2449884,power,71855,0,0
18685.402337,7019043,power,77791,0,6
18685.85736,5904304,power,87606,0,16
18687.073525,6400215,power,79733,0,8
18689.860696,6069607,power,81735,0,10
18690.699625,5658468,power,83662,0,12
18691.321839,5446540,power,89599,0,18
18693.04959,5332099,power,85659,0,14
18693.256356,6726583,power,73894,0,2
18693.774133,5620321,power,75817,0,4
18694.291786,1843770,power,71855,0,0
18695.319914,7167392,power,77791,0,6
18695.856948,5912781,power,87606,0,16
18697.072251,5103217,power,79733,0,8
18699.843326,6323920,power,81735,0,10
18700.68214,7417467,power,83662,0,12
18701.346021,6429884,power,89599,0,18
18703.033347,6120470,power,85659,0,14
18703.260556,7002088,power,73894,0,2
18703.79739,6056891,power,75817,0,4
18704.23225,5628798,power,71855,0,0
18705.342793,6828308,power,77791,0,6
18705.855461,6048414,power,87606,0,16
18707.071038,6497701,power,79733,0,8
18709.845651,6675720,power,81735,0,10
18710.677425,5603366,power,83662,0,12
18711.261276,3526476,power,89599,0,18
18713.039095,6671482,power,85659,0,14
18713.210033,5764432,power,73894,0,2
18713.829407,5662707,power,75817,0,4
18714.251756,5065070,power,71855,0,0
