time,DRAM,CPU,Iteration
4420.477045,5671183,118967692,1
4420.681781,5404155,117882622,9
4420.722363,6459554,114949544,7
4424.348135,6451077,116678873,3
4424.888519,6429884,115186903,17
4425.735507,6366306,115220811,11
4429.161761,6578234,115136041,15
4429.758976,6942749,119222005,5
4429.93581,6679958,117051866,13
4430.475358,5450778,119900174,1
4430.685764,6595188,117713081,9
4430.723949,5993313,118815104,7
4434.892069,6006029,116305882,17
4435.027591,6989373,115169949,3
4435.736042,6934271,113881429,11
4439.161387,6506178,113728841,15
4439.935227,5840726,119459364,13
4440.476913,5658468,118628608,1
4440.705775,8727179,120459662,9
4440.721593,5620321,117780897,7
4443.278956,7803175,152113173,5
4444.324171,6345113,104861790,3
4444.890033,8930630,116577148,17
4445.732206,8845860,119561090,11
4449.175074,6035699,116729736,15
4449.760589,5281236,82380507,5
4449.935135,5989075,119086372,13
4450.475309,5739000,118764241,1
4450.685663,9943644,118611654,9
4450.724033,8044773,121917725,7
4454.312795,7820130,114474826,3
4454.891801,6934272,116695828,17
4455.746231,7125006,119272868,11
4459.166421,7701450,115034316,15
4459.762149,7739597,116814507,5
4459.936685,6095038,117746989,13
4460.475105,5666945,119611952,1
4460.691031,9651185,114780002,9
4460.722325,5624559,117424859,7
4464.278452,7264879,114322239,3
4464.888955,6260342,116356744,17
4465.733255,7069906,117407904,11
4469.166191,7739597,119035509,15
4469.78288,8570353,115898980,5
4469.935493,6082323,118323432,13
4470.478484,5798340,118187799,1
4470.700399,8621215,115695530,9
4470.720475,5649990,117407905,7
4474.311957,6828308,115525987,3
4474.889483,6213718,102216932,17
4475.731857,6145901,116204156,11
4479.162279,6811354,113135443,15
4479.764814,8782281,117967394,5
4479.937089,7943047,120713976,13
4480.481032,6506178,117017958,1
4480.719861,6946988,112643771,9
4480.720832,5094740,119476318,7
4484.292509,6989373,115627713,3
4485.184711,8104113,122816298,17
4485.730019,5455017,118849013,11
4489.162561,6175571,111219618,15
4489.76295,7625156,111287435,5
4489.933484,5933974,118899875,13
4490.478706,5739000,116017659,1
4490.684564,7565816,113067627,9
4490.721464,6090800,120222304,7
4494.28914,7209778,117696126,3
4494.89032,4904005,102166070,17
4495.730077,5086263,119544135,11
4499.166436,8057488,117492676,15
4499.820473,7303026,112542046,5
4499.961747,6145901,118018256,13
4500.480785,5989075,114796957,1
4500.707384,8811951,114152697,9
4500.721057,5815294,118204752,7
4504.288415,7239447,117204454,3
4504.889449,6917318,114780002,17
4505.735844,7904901,117306179,11
4509.1617,7523431,115186903,15
4509.766755,7472568,103386773,5
